country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
China,Yungho,137,unhealthy for sensitive groups,2,good,137,unhealthy for sensitive groups,1,good,109,unhealthy for sensitive groups
Russian Federation,Zelenodolsk,28,good,1,good,28,good,1,good,19,good
China,Zhaodong,89,moderate,2,good,89,moderate,2,good,86,moderate
Burkina Faso,Tougan,44,good,1,good,11,good,2,good,44,good
Côte d'Ivoire,Toulepleu,82,moderate,3,good,4,good,1,good,82,moderate
Russian Federation,Tovarkovo,35,good,1,good,33,good,0,good,35,good
Turkey,Trabzon,34,good,1,good,34,good,0,good,32,good
Italy,Troina,41,good,1,good,41,good,0,good,39,good
India,Udagamandalam,55,moderate,0,good,23,good,0,good,55,moderate
Angola,Uige,132,unhealthy for sensitive groups,5,good,19,good,1,good,132,unhealthy for sensitive groups
Kazakhstan,Ushtobe,57,moderate,1,good,40,good,0,good,57,moderate
India,Vadgaon,104,unhealthy for sensitive groups,0,good,24,good,0,good,104,unhealthy for sensitive groups
United States of America,Vallejo,56,moderate,1,good,29,good,11,good,56,moderate
United States of America,Valley Falls,47,good,1,good,33,good,5,good,47,good
Bulgaria,Varna,44,good,1,good,44,good,1,good,31,good
Armenia,Vedi,61,moderate,1,good,26,good,1,good,61,moderate
Slovenia,Velenje,82,moderate,1,good,32,good,3,good,82,moderate
Brazil,Videira,16,good,1,good,11,good,0,good,16,good
Germany,Vienenburg,36,good,0,good,30,good,1,good,36,good
Thailand,Taphan Hin,53,moderate,0,good,21,good,0,good,53,moderate
Peru,Tarma,15,good,1,good,3,good,1,good,15,good
Afghanistan,Taywarah,62,moderate,0,good,39,good,0,good,62,moderate
Mexico,Tehuacan,62,moderate,1,good,18,good,4,good,62,moderate
Spain,Tineo,35,good,1,good,29,good,3,good,35,good
Spain,Tomares,24,good,1,good,18,good,4,good,24,good
Ukraine,Volnovakha,44,good,1,good,44,good,1,good,22,good
Peru,Nazca,11,good,0,good,10,good,1,good,11,good
France,Neuilly Sur Seine,51,moderate,1,good,20,good,5,good,51,moderate
United States of America,Newberg,32,good,1,good,19,good,8,good,32,good
Czechia,Nove Mesto Nad Metuji,29,good,0,good,29,good,1,good,28,good
Germany,Hatten,35,good,0,good,35,good,1,good,34,good
Belgium,Chaudfontaine,34,good,1,good,32,good,2,good,34,good
Thailand,Chiang Klang,29,good,0,good,29,good,0,good,29,good
Romania,Alesd,50,good,1,good,32,good,1,good,50,good
Philippines,Amungan,67,moderate,0,good,25,good,0,good,67,moderate
United States of America,Andover,45,good,1,good,45,good,3,good,42,good
Sri Lanka,Anuradhapura,47,good,0,good,26,good,0,good,47,good
Russian Federation,Arkhara,34,good,1,good,34,good,0,good,31,good
United States of America,Cloquet,49,good,2,good,21,good,5,good,49,good
United States of America,College,61,moderate,2,good,22,good,4,good,61,moderate
Portugal,Cova Da Piedade,45,good,0,good,30,good,2,good,45,good
India,Cumbum,106,unhealthy for sensitive groups,0,good,37,good,0,good,106,unhealthy for sensitive groups
Japan,Ayabe,41,good,1,good,41,good,0,good,27,good
Romania,Bacau,64,moderate,1,good,43,good,0,good,64,moderate
Ethiopia,Bako,58,moderate,1,good,15,good,0,good,58,moderate
Germany,Bensheim,34,good,1,good,34,good,1,good,29,good
United States of America,Blytheville,88,moderate,2,good,17,good,10,good,88,moderate
